A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
40313990.765136,0.04055802679972301,193758399.44471884,0.24479252652836736,4979477.098357864,0.012324996180924044,123457168.05937275,0.06885015606781919,0.0,0.0,0.0,0.0
13885068.773239847,0.01078102612564061,24082526.481442034,0.02514838078653142,89739508.75303596,0.17355606263473072,52158229.865274064,0.026441282078508627,801517929.5101433,0.736545693507291,0.0,0.0
84456855.69857284,0.06442965478911264,453399986.34759736,0.42807907416461954,0.0,0.0,4336753.095579679,0.0020804173212061843,0.0,0.0,0.0,0.0
427039198.44793814,0.3241159127350235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2388629344.6936474,1.9672429573530812,268906373.12632865,0.29640171963429696,0.0,0.0,0.0,0.0,219159761.4313168,0.2259829054133186,0.0,0.0
1426468741.456715,0.9476012421143909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2738086374.6845627,2.0156021734351794,0.0,0.0,0.0,0.0,0.0,0.0,113683239.03986017,0.10847014375881615,0.0,0.0
0.0,0.0,236751874.49260727,0.23996268423482578,0.0,0.0,19319422.61836131,0.009637582470083091,0.0,0.0,0.0,0.0
3321454067.482055,1.9142580739137465,0.0,0.0,517078136.55472934,0.7597411798596867,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,25167911.75933911,0.02927423539926971,1854078256.7080586,3.696760865816497,0.0,0.0,0.0,0.0,0.0,0.0
203178636.28717098,0.17000675527943465,3164841.158990096,0.0037038634557669385,23741289.29539191,0.05146194797921043,856967.4235783042,0.0005448531651926002,173556117.5806504,0.18530154002692814,0.0,0.0
60305857.83195603,0.03839894836308336,535961033.00780296,0.41852862416402115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232444311.67378205,0.17044535692280227,0.0,0.0,0.0,0.0,0.0,0.0,24063083.59234289,0.022606058314154163,0.0,0.0
0.0,0.0,272970245.7583796,0.24652059546453098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3228919723.249215,1.9864939519203881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,400999636.3534423,0.422950382926116,1494603590.7378492,2.9570101832914517,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,31654087.06241874,0.029048587191824543,100658402.74463314,0.1722915981362803,9542691.728771472,0.004644598057305254,527412659.8329859,0.4405780979360686,0.0,0.0
83605293.6656418,0.07073030407032586,221264793.76349765,0.23719423076321594,46106215.602872506,0.097374201174565,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,15990923.556584245,0.01484965541055843,1334901205.4880424,2.142297051565826,0.0,0.0,0.0,0.0,0.0,0.0
2220634450.2523327,2.015921249371824,0.0,0.0,0.0,0.0,0.0,0.0,12544900.097253397,0.01509783175951927,0.0,0.0
0.0,0.0,66916877.5905256,0.07133293499059402,1967043804.6162481,3.6859412507857208,51094169.97222785,0.017301370145557465,0.0,0.0,0.0,0.0
3094061945.2142224,1.9986431280811106,3749621.276251161,0.0035902715872464,28542881.80232375,0.05131044865224693,0.0,0.0,204056536.80475008,0.18058432026333202,0.0,0.0
0.0,0.0,15267497.73017108,0.014883543037506358,2208751359.8865137,3.6360349047397764,2602478.146130666,0.001118931658259271,0.0,0.0,0.0,0.0
104025374.68375137,0.07530867155203427,626029228.1236342,0.5553778382824786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,31708234.54551496,0.02914382741430618,2271440963.904472,3.5839526563365154,0.0,0.0,5336871.8340595495,0.004437818352259848,0.0,0.0
0.0,0.0,113079769.54344319,0.1166044172122139,1667934278.4353623,3.0951380680753413,0.0,0.0,0.0,0.0,0.0,0.0
2448470473.2173357,1.6775827994412107,0.0,0.0,1134544306.7597575,1.9428355883840185,0.0,0.0,0.0,0.0,0.0,0.0
15296773.263508916,0.010888975167917071,1095787785.9944448,0.9066851317337867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,22454584.7002887,0.024375593249894283,127662635.67885481,0.25629121234492,0.0,0.0,121000440.01662606,0.12069446424295988,0.0,0.0
14886730.3739401,0.010184173971750097,26792284.650214583,0.024565796932820676,1016517280.3175333,1.6513498091095589,0.0,0.0,1131462750.946963,0.8715744446854001,0.0,0.0
217906101.28244045,0.16802847597859866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2898250836.9220247,2.013952842090738,0.0,0.0,6130532.795060492,0.011239785014111256,0.0,0.0,0.0,0.0,0.0,0.0
87063038.56860822,0.06289437884926924,48713675.95582504,0.04697400885187161,1471682060.2235057,2.521621321860243,0.0,0.0,0.0,0.0,0.0,0.0
1801333549.9041028,1.2092597926552955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,38806294.38186413,0.0350951908152867,2308931105.5005074,3.617744433554762,0.0,0.0,0.0,0.0,0.0,0.0
2738530290.732755,2.0160129490532603,12951161.745824538,0.013897948747169143,24971725.097266823,0.0508760650713644,0.0,0.0,74694706.8236249,0.07566953063976958,0.0,0.0
3555322838.998851,1.9981696874056407,84481264.68302138,0.0671389168664693,0.0,0.0,96580375.15257719,0.034834055914925915,0.0,0.0,0.0,0.0
48602177.5119182,0.03846650999855115,33302051.207339294,0.035139059270401236,129407469.49664062,0.2537913933248104,0.0,0.0,0.0,0.0,0.0,0.0
2884242318.8085136,2.0016927301189664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13589256.187510453,0.010516474073106833,70259756.77324663,0.07064747497149064,26392344.222492073,0.0506783151251262,901928.1479347614,0.00048943243967786,0.0,0.0,0.0,0.0
11622352.232496833,0.01074271762536615,39203192.13358413,0.0477587029077373,5660810.715828528,0.013146205933210012,83503442.08656111,0.04743118061849063,256388558.14386487,0.2807786710484301,0.0,0.0
