0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,4,7,1,2,8,4,3,6,3,0,5,2,4,9,2,7,47357619.88364163,628335783.4055316,523300000.0,2425.8851855078624,0.004752832119161739
0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,7,1,5,7,0,0,7,8,1,7,3,0,8,7,4,28528545.703876577,554924144.4545494,733500000.0,593.5056753963577,0.0066440630519075
0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,3,9,1,7,7,4,0,7,5,1,7,6,7,6,2,0,14673262.591257837,592983100.1045179,1147400000.0,671.9970257856323,0.001180189466526892
1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,2,6,0,0,7,4,0,10,1,2,3,7,3,9,2,10,51955398.89579467,516918453.25112295,771800000.0,2321.6846338283717,0.002915147655126619
0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,3,7,0,1,7,0,0,6,0,1,2,5,1,9,5,8,105100484.66351058,446531931.0530802,906700000.0,5018.057229798207,0.007980558226528933
0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,2,9,1,1,7,4,0,9,5,1,4,7,0,8,2,7,13978544.56649034,600542779.0108457,937200000.0,544.559928866287,0.0011251497130679814
0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,4,2,0,5,5,0,6,0,6,6,2,3,5,0,5,151486661.9480748,402641059.54335827,729100000.0,3068.4870443505542,0.041541533558147
1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,3,5,1,5,6,0,7,6,8,6,4,7,0,7,5,5,41449924.805027455,613176549.8382978,758100000.0,2015.7428866927642,0.002611396340130283
0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,2,7,0,6,6,4,5,6,10,7,7,7,1,7,8,4,18718961.335281588,706666456.0673206,636900000.0,671.8002577193384,0.0018030641909388976
1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,7,0,6,7,2,4,10,0,3,5,6,0,9,0,4,74920349.36663681,546954194.2404237,627500000.0,2880.2559169753604,0.006717664319044905
0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,2,6,4,2,5,4,6,6,8,0,6,1,0,6,7,2,72911804.90838397,617633994.1311677,388400000.0,2324.884042691004,0.007562573896756053
