0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,5,1,5,10,2,8,8,4,0,8,2,3,10,2,9,1603177.56959048,725380440.8116765,1041800000.0,0.0,0.0006579978373181534
0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,3,6,10,1,10,5,6,5,4,7,9,5,2,7,6,10,41000748.321593456,861407871.9780498,388400000.0,1328.6561216771254,0.005495305483738294
0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,7,3,2,5,5,7,9,2,5,5,3,5,5,6,5,100132497.32155506,691284720.6240354,351800000.0,0.0,0.05802066685427744
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,2,4,5,1,9,4,7,4,6,1,7,4,3,270936747.9238212,655236279.7477291,169200000.0,0.0,0.1704444040308117
0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,5,5,2,6,2,0,9,3,2,5,3,5,5,5,3,149721383.92136347,552992417.1713227,267200000.0,2363.0968213912847,0.028999051061813705
0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,3,5,5,0,6,2,3,7,3,10,10,1,4,7,2,2,19081154.903303023,585211145.3845884,1239600000.0,782.8588252058066,0.001595798998292801
1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,5,6,5,0,8,0,7,4,4,4,5,3,5,41722418.987961456,463335266.7367886,1439500000.0,521.1524641434628,0.007809336060543275
0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,7,1,2,6,1,0,9,0,2,5,1,5,6,5,1,117317495.03323914,495146882.87202483,432800000.0,0.0,0.06565602413830035
0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,3,6,5,2,6,2,0,9,5,2,1,4,10,5,5,1,167660347.03687525,569704376.3586366,236500000.0,8481.556199123197,0.009364153855889427
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,0,6,1,6,2,3,4,6,1,6,4,0,697421843.8486227,409702652.6595449,205800000.0,0.0,0.48269071655551776
