,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
0,109,52.07439904985557,1.5,0.8265140864125764,149.91784034863934,1.0,0.27767539244894096,63.22390140177902,10.0,0.4905571048743904,68.84260023557528,1.0,0.9831054789309259,331.04807605927454,1.0,0.6495085336317877,2.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,5,0,0,5,0,0,4,1,4,7,0,0,2,54,dikesnet
1,62,310.8508229885748,1.0,0.4862797875215238,323.9295110653041,10.0,0.5208733240215973,264.9449029461782,1.0,0.7448384307990867,259.65164813876004,10.0,0.40270125267329177,34.63138190918265,10.0,0.24631014396195455,4.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,5,0,0,5,0,0,4,1,4,7,0,0,3,54,dikesnet
2,109,52.07439904985557,1.5,0.8265140864125764,149.91784034863934,1.0,0.27767539244894096,63.22390140177902,10.0,0.4905571048743904,68.84260023557528,1.0,0.9831054789309259,331.04807605927454,1.0,0.6495085336317877,2.5,1.5,1.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,0,0,3,0,0,3,0,0,5,0,1,4,0,0,2,76,dikesnet
3,62,310.8508229885748,1.0,0.4862797875215238,323.9295110653041,10.0,0.5208733240215973,264.9449029461782,1.0,0.7448384307990867,259.65164813876004,10.0,0.40270125267329177,34.63138190918265,10.0,0.24631014396195455,4.5,4.5,3.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,0,0,3,0,0,3,0,0,5,0,1,4,0,0,3,76,dikesnet
4,109,52.07439904985557,1.5,0.8265140864125764,149.91784034863934,1.0,0.27767539244894096,63.22390140177902,10.0,0.4905571048743904,68.84260023557528,1.0,0.9831054789309259,331.04807605927454,1.0,0.6495085336317877,2.5,1.5,1.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,5,1,0,4,0,0,2,88,dikesnet
5,62,310.8508229885748,1.0,0.4862797875215238,323.9295110653041,10.0,0.5208733240215973,264.9449029461782,1.0,0.7448384307990867,259.65164813876004,10.0,0.40270125267329177,34.63138190918265,10.0,0.24631014396195455,4.5,4.5,3.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,5,1,0,4,0,0,3,88,dikesnet
6,109,52.07439904985557,1.5,0.8265140864125764,149.91784034863934,1.0,0.27767539244894096,63.22390140177902,10.0,0.4905571048743904,68.84260023557528,1.0,0.9831054789309259,331.04807605927454,1.0,0.6495085336317877,2.5,1.5,1.5,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,3,0,0,0,3,0,0,2,0,0,3,2,0,3,0,0,2,134,dikesnet
7,62,310.8508229885748,1.0,0.4862797875215238,323.9295110653041,10.0,0.5208733240215973,264.9449029461782,1.0,0.7448384307990867,259.65164813876004,10.0,0.40270125267329177,34.63138190918265,10.0,0.24631014396195455,4.5,4.5,3.5,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,3,0,0,0,3,0,0,2,0,0,3,2,0,3,0,0,3,134,dikesnet
8,109,52.07439904985557,1.5,0.8265140864125764,149.91784034863934,1.0,0.27767539244894096,63.22390140177902,10.0,0.4905571048743904,68.84260023557528,1.0,0.9831054789309259,331.04807605927454,1.0,0.6495085336317877,2.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,7,0,0,1,0,3,2,0,0,2,256,dikesnet
9,62,310.8508229885748,1.0,0.4862797875215238,323.9295110653041,10.0,0.5208733240215973,264.9449029461782,1.0,0.7448384307990867,259.65164813876004,10.0,0.40270125267329177,34.63138190918265,10.0,0.24631014396195455,4.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,7,0,0,1,0,3,2,0,0,3,256,dikesnet
10,109,52.07439904985557,1.5,0.8265140864125764,149.91784034863934,1.0,0.27767539244894096,63.22390140177902,10.0,0.4905571048743904,68.84260023557528,1.0,0.9831054789309259,331.04807605927454,1.0,0.6495085336317877,2.5,1.5,1.5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,268,dikesnet
11,62,310.8508229885748,1.0,0.4862797875215238,323.9295110653041,10.0,0.5208733240215973,264.9449029461782,1.0,0.7448384307990867,259.65164813876004,10.0,0.40270125267329177,34.63138190918265,10.0,0.24631014396195455,4.5,4.5,3.5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,268,dikesnet
12,109,52.07439904985557,1.5,0.8265140864125764,149.91784034863934,1.0,0.27767539244894096,63.22390140177902,10.0,0.4905571048743904,68.84260023557528,1.0,0.9831054789309259,331.04807605927454,1.0,0.6495085336317877,2.5,1.5,1.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,278,dikesnet
13,62,310.8508229885748,1.0,0.4862797875215238,323.9295110653041,10.0,0.5208733240215973,264.9449029461782,1.0,0.7448384307990867,259.65164813876004,10.0,0.40270125267329177,34.63138190918265,10.0,0.24631014396195455,4.5,4.5,3.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,3,278,dikesnet
14,109,52.07439904985557,1.5,0.8265140864125764,149.91784034863934,1.0,0.27767539244894096,63.22390140177902,10.0,0.4905571048743904,68.84260023557528,1.0,0.9831054789309259,331.04807605927454,1.0,0.6495085336317877,2.5,1.5,1.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,2,3,0,0,2,285,dikesnet
15,62,310.8508229885748,1.0,0.4862797875215238,323.9295110653041,10.0,0.5208733240215973,264.9449029461782,1.0,0.7448384307990867,259.65164813876004,10.0,0.40270125267329177,34.63138190918265,10.0,0.24631014396195455,4.5,4.5,3.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,2,3,0,0,3,285,dikesnet
16,109,52.07439904985557,1.5,0.8265140864125764,149.91784034863934,1.0,0.27767539244894096,63.22390140177902,10.0,0.4905571048743904,68.84260023557528,1.0,0.9831054789309259,331.04807605927454,1.0,0.6495085336317877,2.5,1.5,1.5,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,291,dikesnet
17,62,310.8508229885748,1.0,0.4862797875215238,323.9295110653041,10.0,0.5208733240215973,264.9449029461782,1.0,0.7448384307990867,259.65164813876004,10.0,0.40270125267329177,34.63138190918265,10.0,0.24631014396195455,4.5,4.5,3.5,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,291,dikesnet
18,109,52.07439904985557,1.5,0.8265140864125764,149.91784034863934,1.0,0.27767539244894096,63.22390140177902,10.0,0.4905571048743904,68.84260023557528,1.0,0.9831054789309259,331.04807605927454,1.0,0.6495085336317877,2.5,1.5,1.5,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,3,0,2,3,9,5,5,8,1,3,9,7,1,8,5,7,2,410,dikesnet
19,62,310.8508229885748,1.0,0.4862797875215238,323.9295110653041,10.0,0.5208733240215973,264.9449029461782,1.0,0.7448384307990867,259.65164813876004,10.0,0.40270125267329177,34.63138190918265,10.0,0.24631014396195455,4.5,4.5,3.5,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,3,0,2,3,9,5,5,8,1,3,9,7,1,8,5,7,3,410,dikesnet
20,109,52.07439904985557,1.5,0.8265140864125764,149.91784034863934,1.0,0.27767539244894096,63.22390140177902,10.0,0.4905571048743904,68.84260023557528,1.0,0.9831054789309259,331.04807605927454,1.0,0.6495085336317877,2.5,1.5,1.5,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,7,2,0,9,6,10,8,0,3,9,7,2,8,2,6,2,437,dikesnet
21,62,310.8508229885748,1.0,0.4862797875215238,323.9295110653041,10.0,0.5208733240215973,264.9449029461782,1.0,0.7448384307990867,259.65164813876004,10.0,0.40270125267329177,34.63138190918265,10.0,0.24631014396195455,4.5,4.5,3.5,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,7,2,0,9,6,10,8,0,3,9,7,2,8,2,6,3,437,dikesnet
22,109,52.07439904985557,1.5,0.8265140864125764,149.91784034863934,1.0,0.27767539244894096,63.22390140177902,10.0,0.4905571048743904,68.84260023557528,1.0,0.9831054789309259,331.04807605927454,1.0,0.6495085336317877,2.5,1.5,1.5,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,7,5,3,9,1,9,8,3,4,9,7,2,8,2,5,2,705,dikesnet
23,62,310.8508229885748,1.0,0.4862797875215238,323.9295110653041,10.0,0.5208733240215973,264.9449029461782,1.0,0.7448384307990867,259.65164813876004,10.0,0.40270125267329177,34.63138190918265,10.0,0.24631014396195455,4.5,4.5,3.5,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,7,5,3,9,1,9,8,3,4,9,7,2,8,2,5,3,705,dikesnet
