,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths,Case
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,5,0,0,5,0,0,4,1,4,7,0,0,0.0,256010046.92534447,0.0,0.0,0.0,0
76,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,0,0,3,0,0,3,0,0,5,0,1,4,0,0,0.0,166255232.00718755,30700000.0,0.0,0.0,0
88,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,5,1,0,4,0,0,0.0,123963726.35281126,115300000.0,0.0,0.0,0
134,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,3,0,0,0,3,0,0,2,0,0,3,2,0,3,0,0,0.0,116925138.48368336,267200000.0,0.0,0.0,0
256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,7,0,0,1,0,3,2,0,0,0.0,115107981.8380928,0.0,0.0,0.0,1
268,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,25037214.086173728,151900000.0,0.0,0.0,1
278,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0.0,33899030.27732149,61400000.0,0.0,0.0,1
285,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,2,3,0,0,0.0,85159742.67354356,30700000.0,0.0,0.0,1
291,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,273100000.0,0.0,0.0,1
410,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,3,0,2,3,9,5,5,8,1,3,9,7,1,8,5,7,0.0,657660748.5277612,1588300000.0,0.0,0.0,2
437,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,7,2,0,9,6,10,8,0,3,9,7,2,8,2,6,0.0,719220243.2928274,1114400000.0,0.0,0.0,2
705,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,7,5,3,9,1,9,8,3,4,9,7,2,8,2,5,0.0,760406240.0612975,1068100000.0,0.0,0.0,2
