0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths,Case
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,3,2,0,0,61387484.24903842,66839330.599367574,84600000.0,0.0,0.061854209587250915,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,0,3,0,0,0,1,4,2,0,0,67493916.54158202,148661151.86924335,0.0,2370.4287541418817,0.007028898416431385,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,3,6,0,2,0,2,7,0,0,58556881.82446043,160585670.3226407,0.0,2808.2356319103515,0.009045250357094161,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,3,0,0,0,0,0,5,0,0,88318464.83862434,136375033.480522,0.0,1285.1005770689144,0.025420490892440736,0
0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,0,3,0,4,6,0,0,19555749.94778182,106100672.6691489,146000000.0,937.7124233100542,0.0030221598771940925,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,0,0,2,0,0,3,1,4,2,0,0,23727729.554014303,161378365.84800583,0.0,1134.6563690035716,0.005613148869421984,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,3,0,0,3,1,4,4,0,0,23727729.554014303,169207466.69010532,0.0,550.136421335065,0.016839446608265956,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,4,1,4,0,0,60603709.42050734,74500393.50052866,84600000.0,3650.172992129352,0.007368017397820035,0
1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,3,0,3,6,0,0,11408254.434697498,106793885.05002451,261300000.0,328.9889870252172,0.004253371862905649,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,3,0,4,4,0,0,27434568.72832584,99204116.842622,115300000.0,791.1492815958914,0.01022865239208978,0
0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,0,4,6,0,0,11408254.434697498,106100672.6691489,176700000.0,0.0,0.011814921841404582,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,3,0,4,4,0,0,58556881.82446043,99204116.842622,84600000.0,1691.5489923977643,0.021708600857025983,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,3,0,1,1,3,5,0,0,28502090.631415065,106623102.62524977,115300000.0,1377.0512947771692,0.004355211144985122,0
