0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,4,0,0,0,0,0,6,0,2,4,3,0,7,1,0,1,114425.59400853113,191609139.14465836,486700000.0,12.308141163234799,1.9113244783649376e-05
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7,4,2,0,0,5,4,4,5,0,4,2,5,7,0.0,490016769.74698234,0.0,0.0,0.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,5,5,6,3,0,2,0,0,0.0,197056684.93435925,84600000.0,0.0,0.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,2,6,3,0,4,0,2,2993483.7902154354,190837768.70132437,84600000.0,0.0,0.004418769693443172
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,4,0,3,2,1,5,0,4,1,2,5,4,0,3,0.0,342564480.6717749,30700000.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,2,0,3,0,1,4,6,7,0,5,5,3,1,997827.9300718119,426053273.8532651,0.0,38.61202664507558,0.0005302523632131807
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,2,1,0,1,0,1,2,2,3,2,0,6,1,5220417.249532983,300469163.9905322,30700000.0,234.0132961317566,0.0026075861460840427
1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0,3,1,1,6,0,2,10,0,0,2978584.2847883925,191893869.4974885,375000000.0,191.6209596334453,0.000656609017758566
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,1,1,2,0,7,0,2,4,0,1,2,0,2,0.0,251487668.09939453,61400000.0,0.0,0.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,3,3,0,1,7,2,0,1,6,7,5,5,319881.303166413,428731041.3167139,0.0,29.30885143356773,3.380119151659414e-05
