0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,2,6,3,0,0,1,60981790.43323164,140022722.53196192,0.0,0.0,0.06304899787189439
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,4,5,3,6,0,0,13155851.472461015,149987711.3437295,61400000.0,0.0,0.013397128760796503
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,3,0,0,1,2,0,4,3,3,6,0,0,18188321.275751308,194095428.49915782,0.0,878.0181616866489,0.0043125897788105485
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,2,1,2,1,0,0,23952040.059628546,97645616.093369,115300000.0,0.0,0.024469083964909676
0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3,1,0,0,1,0,0,2,2,0,2,2,0,2,0,0,0.0,159568568.8697536,182600000.0,0.0,0.0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,2,0,2,4,3,1,0,0,23952040.059628546,139052016.10707337,30700000.0,0.0,0.024469083964909676
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,1,2,0,2,1,3,6,0,0,13155851.472461015,149231949.78827974,61400000.0,381.31141278044447,0.004822966353886741
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,3,0,0,1,3,0,4,2,2,5,0,0,4426563.826971208,189590224.48711276,30700000.0,214.5946523376081,0.0010453140580334815
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,3,2,1,1,0,0,23952040.059628546,97794282.52657522,115300000.0,693.5722893628308,0.008808870227367482
0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,5,2,0,4,2,1,1,0,0,6800825.496555713,105873337.43835357,267200000.0,196.88522656557777,0.0025030337785213836
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,2,6,3,1,0,0,23952040.059628546,81089044.52277726,115300000.0,1151.4383710125119,0.003670362594736451
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,3,0,3,1,3,4,0,0,12637437.704277616,163226745.39280066,30700000.0,0.0,0.02469596373369069
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,5,0,2,6,3,1,0,0,49715453.74839418,147114188.7528453,0.0,0.0,0.05196841645375805
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,2,2,0,3,3,0,6,0,0,13155851.472461015,136648425.70152664,61400000.0,786.4547888596669,0.0016076554512955805
0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,2,0,7,1,3,7,0,0,0.0,174071950.6436887,115300000.0,0.0,0.0
0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,3,2,0,4,0,0,6,0,0,0.0,146528434.97509292,461900000.0,0.0,0.0
