hypervolume,epsilon_progress,nfe
0.0,0,0
0.5967740348388152,5,100
0.8905833244200991,13,1192
0.9926679197804782,20,2290
1.0,21,3383
1.0,21,4457
1.0,21,5537
1.0,21,6627
1.0,21,7709
1.0,21,8790
1.0,21,9868
1.0,21,10936
1.0,21,12017
1.0,21,13097
1.0,21,14165
1.0,21,15237
1.0,21,16317
1.0,21,17391
1.0,21,18474
1.0,21,19551
1.0,21,20632
1.0,21,21718
1.0,21,22807
1.0,21,23889
1.0,21,24972
1.0,21,26049
1.0,21,27130
1.0,21,28204
1.0,21,29284
1.0,21,30361
1.0,21,31433
1.0,21,32524
1.0,21,33612
1.0,21,34703
1.0,21,35782
1.0,21,36871
1.0,21,37958
1.0,21,39037
1.0,21,40113
1.0,21,41194
1.0,21,42273
1.0,21,43354
1.0,21,44437
1.0,21,45519
1.0,21,46596
1.0,21,47671
1.0,21,48755
1.0,21,49827
1.0,21,50898
1.0,21,51971
1.0,21,53058
1.0,21,54137
1.0,21,55224
1.0,21,56301
1.0,21,57387
1.0,21,58468
1.0,21,59556
1.0,21,60646
1.0,21,61725
1.0,21,62815
1.0,21,63895
1.0,21,64980
1.0,21,66059
1.0,21,67150
1.0,21,68237
1.0,21,69312
1.0,21,70394
1.0,21,71481
1.0,21,72569
1.0,21,73652
1.0,21,74725
1.0,21,75818
1.0,21,76889
1.0,21,77969
1.0,21,79050
1.0,21,80128
1.0,21,81216
1.0,21,82307
1.0,21,83386
1.0,21,84449
1.0,21,85527
1.0,21,86610
1.0,21,87697
1.0,21,88777
1.0,21,89871
1.0,21,90957
1.0,21,92043
1.0,21,93130
1.0,21,94220
1.0,21,95300
1.0,21,96389
1.0,21,97478
1.0,21,98483
1.0,21,99488
