Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0.0,883347337.5369959,945200000.0,0.0,0.0
0.0,883347337.5369959,1029800000.0,0.0,0.0
0.0,883347337.5369959,1029800000.0,0.0,0.0
0.0,883347337.5369959,860600000.0,0.0,0.0
0.0,883347337.5369959,945200000.0,0.0,0.0
0.0,883347337.5369959,1163000000.0,0.0,0.0
0.0,883347337.5369959,945200000.0,0.0,0.0
0.0,883347337.5369959,914500000.0,0.0,0.0
0.0,883347337.5369959,945200000.0,0.0,0.0
0.0,883347337.5369959,975900000.0,0.0,0.0
0.0,883347337.5369959,824000000.0,0.0,0.0
0.0,883347337.5369959,824000000.0,0.0,0.0
0.0,883347337.5369959,824000000.0,0.0,0.0
0.0,883347337.5369959,1201300000.0,0.0,0.0
0.0,883347337.5369959,945200000.0,0.0,0.0
0.0,883347337.5369959,1201300000.0,0.0,0.0
0.0,837078441.1045508,945200000.0,0.0,0.0
0.0,738966191.3004153,945200000.0,0.0,0.0
0.0,928290183.8436732,945200000.0,0.0,0.0
0.0,930088727.4859364,945200000.0,0.0,0.0
0.0,902711554.981663,945200000.0,0.0,0.0
0.0,899946309.907537,945200000.0,0.0,0.0
0.0,855519186.527679,945200000.0,0.0,0.0
0.0,888557722.4605169,945200000.0,0.0,0.0
0.0,878372598.4254916,945200000.0,0.0,0.0
0.0,883347337.5369959,945200000.0,0.0,0.0
0.0,878651104.3810835,945200000.0,0.0,0.0
0.0,873108264.9244201,945200000.0,0.0,0.0
0.0,784142099.4780078,945200000.0,0.0,0.0
0.0,883347337.5369959,945200000.0,0.0,0.0
0.0,883347337.5369959,945200000.0,0.0,0.0
0.0,883347337.5369959,945200000.0,0.0,0.0
42825439.01578312,684521203.2070857,1311600000.0,0.0,0.0427882870216809
42825439.01578312,684521203.2070857,1311600000.0,0.0,0.0427882870216809
42825439.01578312,684521203.2070857,1480800000.0,0.0,0.0427882870216809
42825439.01578312,684521203.2070857,1396200000.0,0.0,0.0427882870216809
42825439.01578312,684521203.2070857,1178400000.0,0.0,0.0427882870216809
42825439.01578312,684521203.2070857,1396200000.0,0.0,0.0427882870216809
42825439.01578312,684521203.2070857,1426900000.0,0.0,0.0427882870216809
42825439.01578312,684521203.2070857,1396200000.0,0.0,0.0427882870216809
42825439.01578312,684521203.2070857,1365500000.0,0.0,0.0427882870216809
14679713.63050743,684521203.2070857,1517400000.0,0.0,0.014672631222179296
14679713.63050743,684521203.2070857,1517400000.0,0.0,0.014672631222179296
14679713.63050743,684521203.2070857,1517400000.0,0.0,0.014672631222179296
42825439.01578312,684521203.2070857,1140100000.0,0.0,0.0427882870216809
42825439.01578312,684521203.2070857,1396200000.0,0.0,0.0427882870216809
42825439.01578312,684521203.2070857,1140100000.0,0.0,0.0427882870216809
42825439.01578312,720130772.698199,1396200000.0,0.0,0.0427882870216809
42825439.01578312,825661803.2540061,1396200000.0,0.0,0.0427882870216809
42825439.01578312,654491361.8112102,1396200000.0,0.0,0.0427882870216809
42825439.01578312,632440526.628926,1396200000.0,0.0,0.0427882870216809
42825439.01578312,661051681.8376268,1396200000.0,0.0,0.0427882870216809
42825439.01578312,664214708.1574597,1396200000.0,0.0,0.0427882870216809
42825439.01578312,712359507.4670832,1396200000.0,0.0,0.0427882870216809
42825439.01578312,680260286.9533151,1396200000.0,0.0,0.0427882870216809
42825439.01578312,688870320.6130629,1396200000.0,0.0,0.0427882870216809
