A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,policy,model
42,272.71850713521235,10.0,0.2854307324065385,346.0472324069574,1.5,0.8115313896159838,297.0083058330961,1.5,0.671108038951078,340.1470077028921,1.0,0.49366127265712,334.2612810769377,1.5,0.9081327961813026,1.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
126,132.68835597274756,1.5,0.7895828247936917,342.6049350076307,1.5,0.7649342216933693,180.5244369972225,1.0,0.0843782668096179,36.98150009459143,10.0,0.4498178697810898,96.61046475228318,10.0,0.5901297155995491,1.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
119,247.2275939084287,1.5,0.9497535397991226,85.15734141548694,1.0,0.1631376741003948,187.4865425070768,1.5,0.5527832105441237,295.1431559597702,10.0,0.4020245079924532,181.59950631717572,1.5,0.8657279457291374,2.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
89,280.7400643150426,10.0,0.4729928684730132,148.13384588948537,1.5,0.38674714163122,286.64126832623185,1.5,0.6295715226570331,115.68241053938516,1.0,0.0873945552208475,323.8564638151768,1.5,0.5088353033974788,1.5,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
5,226.83556775907996,1.5,0.4665741992936869,95.35388517106418,1.5,0.693129473639432,323.26746101734227,10.0,0.8712995446472599,102.9575106747854,1.0,0.8607652651448868,69.98130621011852,1.5,0.1135136572031326,4.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
78,209.53467120953468,1.5,0.5800839629910108,111.80148218075846,1.0,0.2992355389262032,107.77279131574444,1.0,0.3048644498621087,130.71552311005118,10.0,0.6002311253882715,152.76737572843757,1.0,0.0722841874697858,1.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
19,36.882592182800295,10.0,0.5923398358370388,349.499262319786,1.5,0.4812765116372874,143.90465986583524,1.0,0.2355599428351244,268.28359877471985,1.5,0.7609863349720434,166.42740886191694,10.0,0.618378592328255,4.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
125,318.5510744426264,1.0,0.414338050545755,195.1931036499715,1.0,0.1744945414338467,119.15020677139604,1.5,0.9339586394176492,122.47067519530216,10.0,0.5172039357798587,150.17550491798443,1.0,0.1052692862945531,1.5,2.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
100,115.27313919263877,1.0,0.7666194249687389,316.5385581969025,1.0,0.3423288632482902,319.4708958023856,1.5,0.335815627769323,85.54710979224407,10.0,0.9547489435937332,324.52649576734126,1.5,0.9370472408984136,1.5,4.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
107,96.42072763244047,1.0,0.3491677361777023,30.59671153621349,1.5,0.0425921387392901,147.47563816812146,10.0,0.274932534746747,157.8795403144595,1.5,0.2299847284081721,257.3824413698944,10.0,0.6638689002432513,2.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
7,189.22548899717097,1.5,0.6593179158276538,215.4407198575878,1.0,0.564205586802467,341.03699677385265,1.0,0.4336344548993756,95.65904183860876,10.0,0.8333108430276176,143.63872521453857,1.5,0.39648054437711,2.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
90,183.33821766275432,10.0,0.91610959466889,295.05241448349835,1.0,0.5712613269524232,204.4059225629856,1.0,0.505384238951241,112.87968241673708,1.0,0.6450890869777168,65.42048859244127,1.5,0.275348873127748,1.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
44,83.95621724911831,1.0,0.4568778170980477,275.9239697880984,1.5,0.8320731957445905,284.7844939615884,10.0,0.03964323458522,63.59460221130445,1.5,0.3462799104221923,300.61731064446263,1.0,0.2902185177483188,4.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
33,72.57255150553503,1.5,0.0089354899780462,101.2872847449191,1.5,0.6650624613785235,222.6694133551832,10.0,0.5973803987920943,287.4989224720347,10.0,0.4602231684992507,87.05056322054054,10.0,0.5155128725294752,1.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
31,78.92145039390252,1.5,0.1565453850139891,78.40937610575718,10.0,0.445698560962707,289.4442334611322,1.5,0.2216113737904263,213.90674490252317,1.0,0.3732771649955501,111.75169726261724,1.0,0.949615496148033,3.5,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
8,347.33415019887747,1.0,0.4894802494849301,106.12578539840064,1.0,0.8856063653305706,238.23744724385253,1.0,0.2453419783493855,332.7513548022945,10.0,0.0048232566109306,207.96301177500305,1.5,0.99648039900998,2.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
97,146.46502015787084,10.0,0.573321122059985,166.91623812413002,1.5,0.7271960245128923,254.71604987992865,1.0,0.2539337404425066,311.228147773034,1.5,0.0598818252143242,286.3490803150704,10.0,0.0253313072275051,3.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
87,307.48146647412415,1.0,0.5620967424083991,222.66778923591636,10.0,0.9165813964813756,215.54378997949644,10.0,0.1839175363858879,298.80307243717266,1.5,0.7474394697822226,256.4555538841183,1.0,0.3474411535564701,2.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
121,68.4544361255395,1.0,0.8045758469322484,246.5268021983313,10.0,0.1363184118606518,103.2415556616166,1.5,0.6588743722167405,232.08017611846424,10.0,0.6557725183416269,188.2001089776077,1.5,0.9623655563950918,4.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
81,160.90713310546482,10.0,0.6171486427390703,208.30239741800744,1.0,0.3373041274490132,237.359685138566,10.0,0.7669510885645022,191.5463547241525,1.5,0.2451668859233942,278.18519989396736,1.0,0.9171500643256386,4.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
45,104.24785121279098,1.0,0.6424351744539608,276.8975866044758,1.0,0.2375288792417484,332.88089878908346,1.5,0.9405512489887504,320.5818731489243,1.5,0.0399884603754389,280.0246728688362,1.0,0.5497736259814329,1.5,4.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
15,278.7427964502592,1.5,0.135678951424651,182.4022076882111,1.0,0.462021109003323,317.0164943648665,10.0,0.913291613142394,295.8203466552418,1.0,0.6149175908714875,172.2372654542776,10.0,0.3161920565071115,3.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
122,44.70814501582301,1.5,0.1828319219510666,320.5878488992032,1.5,0.6319557337157735,218.66554219398407,10.0,0.8266419863103972,105.83070324644656,1.0,0.397244061481289,60.48139034418658,10.0,0.671793589295322,3.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
111,232.1056606300295,1.5,0.6789778278191004,161.6796842075849,1.0,0.2032778565261682,97.52673342581878,1.5,0.5138488552896969,76.27812525687193,10.0,0.5072781318997509,155.31663469177832,10.0,0.6830834090070711,1.5,2.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
84,340.0422709460164,10.0,0.7521601923899272,117.89213666711228,1.5,0.8438094265893205,198.8996269237928,1.0,0.5258675394454606,92.54026697476093,1.5,0.2581673011915227,129.11053928917664,1.5,0.1851173702557668,3.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
74,236.91612206755804,1.0,0.2947303791547264,215.800768052536,1.0,0.5878575984442457,336.2886877655028,1.0,0.9286536437579342,260.2980899395451,10.0,0.4855922646764624,184.5628976764413,1.5,0.1904203492248208,1.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
29,334.60170495855755,1.0,0.3876594529549908,132.9207116819752,10.0,0.1572691797486652,106.03722223651998,1.5,0.6131941748739063,281.3159338442045,1.5,0.5491685504316443,204.8402695561944,1.5,0.3366203662485237,2.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
104,42.67260501413531,1.0,0.8642702635882015,91.70389353557002,1.5,0.998872036336107,111.89228376294422,1.5,0.5840415525731538,50.18760518007547,10.0,0.9153503127911216,32.43635636767073,1.0,0.2173306152683834,2.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
105,239.0447633845368,1.0,0.8116003678092122,330.7899907851814,10.0,0.7075808481645075,129.7964153176248,10.0,0.497295692794238,169.58917788478,10.0,0.9645583089921904,200.21926584836416,1.0,0.4145265652387649,4.5,2.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
36,185.69858200752003,10.0,0.4077309445800525,61.99129595166696,1.0,0.0254559244709972,227.0458229057919,1.0,0.8868971122513487,194.57895148258484,1.5,0.1475377430540031,125.56060558391036,10.0,0.4384845012843771,3.5,4.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
101,313.00332465261783,1.0,0.9727552257499932,36.0594671441887,1.0,0.3754563563460211,128.8761212262316,1.0,0.195050585504639,265.14215805236654,1.0,0.0441356215906553,35.6330309282902,1.5,0.3030646611423329,3.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
88,283.4718522271368,1.0,0.5034011845800657,38.923722551595695,1.5,0.2426384869580091,307.2448895655001,10.0,0.2195551762555053,99.4098491245974,1.5,0.0965862404705601,227.3850550103753,1.5,0.2696177586645697,4.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
