A.1_Expected Annual Damage 0,A.1_Dike Investment Costs 0,A.1_Expected Number of Deaths 0,A.2_Expected Annual Damage 0,A.2_Dike Investment Costs 0,A.2_Expected Number of Deaths 0,A.3_Expected Annual Damage 0,A.3_Dike Investment Costs 0,A.3_Expected Number of Deaths 0,A.4_Expected Annual Damage 0,A.4_Dike Investment Costs 0,A.4_Expected Number of Deaths 0,A.5_Expected Annual Damage 0,A.5_Dike Investment Costs 0,A.5_Expected Number of Deaths 0,RfR Total Costs 0,Expected Evacuation Costs 0,A.1_Expected Annual Damage 1,A.1_Dike Investment Costs 1,A.1_Expected Number of Deaths 1,A.2_Expected Annual Damage 1,A.2_Dike Investment Costs 1,A.2_Expected Number of Deaths 1,A.3_Expected Annual Damage 1,A.3_Dike Investment Costs 1,A.3_Expected Number of Deaths 1,A.4_Expected Annual Damage 1,A.4_Dike Investment Costs 1,A.4_Expected Number of Deaths 1,A.5_Expected Annual Damage 1,A.5_Dike Investment Costs 1,A.5_Expected Number of Deaths 1,RfR Total Costs 1,Expected Evacuation Costs 1,A.1_Expected Annual Damage 2,A.1_Dike Investment Costs 2,A.1_Expected Number of Deaths 2,A.2_Expected Annual Damage 2,A.2_Dike Investment Costs 2,A.2_Expected Number of Deaths 2,A.3_Expected Annual Damage 2,A.3_Dike Investment Costs 2,A.3_Expected Number of Deaths 2,A.4_Expected Annual Damage 2,A.4_Dike Investment Costs 2,A.4_Expected Number of Deaths 2,A.5_Expected Annual Damage 2,A.5_Dike Investment Costs 2,A.5_Expected Number of Deaths 2,RfR Total Costs 2,Expected Evacuation Costs 2
0.0,-1143922672,,,-1142788048,,,-1186234352,,,-1188994528,,,-1142768032,,,,,-2082471600,,,-2082471600,,,-2082471600,,,-2082471600,,,-2082471600,,,,,-2082471600,,,-2082471600,,,-2082471600,,,-2082471600,,,-1188158944,,,
20614422.118911546,0,0.0219638163624406,5834407.509871477,360,,,360,,,360,,,360,,,,,360,,,360,,,360,,,360,,,360,,,,,360,,,360,,,360,,,360,,,360,,,
24706717.16452832,0,0.0215145279662536,7186160.623871833,0,0.008476834492718,477372496.3163907,-1188945344,,,-1189192608,,,-1188945344,,,,,-1188945344,,,-1142748016,,,-1142748016,,,-1142748016,,,-1142748016,,,,,-1142748016,,,-1142748016,,,-1142748016,,,-1142748016,,,-1142748016,,,
641788928.7652516,0,0.6258179278075002,694743.1770642444,0,0.0010107298525586,24788307.93062126,0,0.066075989887841,925221.6722072604,360,,,360,,,,,360,,,360,,,360,,,360,,,360,,,,,360,,,360,,,360,,,360,,,360,,,
764438924.842145,0,0.6073861070341767,22216126.64163932,0,0.0219020180004167,0.0,0,0.0,0.0,0,0.0,0.0,0,,,,,0,,,0,,,0,,,0,,,0,,,,,0,,,0,,,0,,,0,,,0,,,
1255480659.3289375,0,0.6141333048068823,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,771162441.8450885,0,,,0,,,0,,,0,,,0,,,,,0,,,0,,,0,,,0,,,0,,,
0.0,0,0.0,12931669.705836471,0,0.018217673642809,1312436.2313883596,0,0.0035538729366945,10932931.520204453,0,0.0074903840263694,106324408.79114445,0,0.1381461794126844,0.0,0.0,0.0,0,0.0,15773023.243003985,0,,,0,,,0,,,0,,,,,0,,,0,,,0,,,0,,,0,,,
632372614.6381127,0,0.61428924846385,648346.0177525898,0,0.0008818839597756,34171744.49044498,0,0.087577449678561,421352.4634860924,0,0.000278861535631,0.0,0,0.0,0.0,0.0,1255733704.0484836,0,0.61428924846385,1287452.8838404184,0,0.0008818839597756,67856529.97851789,0,,,0,,,0,,,,,0,,,0,,,0,,,0,,,0,,,
12483422.76317713,0,0.0087790713883786,2366380.293380948,0,0.0022787733881742,139056523.61980927,0,0.2384409766850472,11530547.456270017,0,0.0051083520454574,399304865.0093085,0,0.3263905968314166,0.0,0.0,12483422.76317713,0,0.0087790713883786,2366380.293380948,0,0.0022787733881742,139056523.61980927,0,0.2384409766850472,11530547.456270017,0,,,0,,,,,0,,,0,,,0,,,0,,,0,,,
138709615.72456226,0,0.1412926072086856,11609614.786287189,0,0.0156768555282979,9545243.872697232,0,0.0250104214859183,0.0,0,0.0,0.0,0,0.0,0.0,0.0,212369725.079302,0,0.1412926072086856,17774764.118273173,0,0.0156768555282979,14614133.320684029,0,0.0250104214859183,0.0,0,0.0,0.0,0,,,,,0,,,0,,,0,,,0,,,0,,,
