Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
4726433.738824349,847412730.6315461,1292000000.0,0.0,0.004364872354620821
6164675.0825957125,847412730.6315461,1292000000.0,0.0,0.0057055104994724205
4726433.738824349,847412730.6315461,1292000000.0,0.0,0.004364872354620821
4726433.738824349,847412730.6315461,1292000000.0,0.0,0.004364872354620821
4726433.738824349,847412730.6315461,1292000000.0,0.0,0.004364872354620821
4726433.738824349,847412730.6315461,1292000000.0,0.0,0.004364872354620821
4726433.738824349,847412730.6315461,1292000000.0,0.0,0.004364872354620821
0.0,847412730.6315461,1292000000.0,0.0,0.0
4726433.738824349,847412730.6315461,1292000000.0,0.0,0.004364872354620821
4726433.738824349,847412730.6315461,1292000000.0,0.0,0.004364872354620821
4726433.738824349,847412730.6315461,1292000000.0,0.0,0.004364872354620821
4726433.738824349,847412730.6315461,1292000000.0,0.0,0.004364872354620821
4726433.738824349,847412730.6315461,1292000000.0,0.0,0.004364872354620821
4726433.738824349,847412730.6315461,1292000000.0,0.0,0.004364872354620821
4726433.738824349,847412730.6315461,1292000000.0,0.0,0.004364872354620821
4726433.738824349,847412730.6315461,1292000000.0,0.0,0.004364872354620821
4726433.738824349,847412730.6315461,1292000000.0,0.0,0.004364872354620821
4726433.738824349,847412730.6315461,1292000000.0,0.0,0.004364872354620821
4726433.738824349,847412730.6315461,1292000000.0,0.0,0.004364872354620821
4726433.738824349,847412730.6315461,1292000000.0,0.0,0.004364872354620821
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
6164675.0825957125,847412730.6315461,1292000000.0,0.0,0.0057055104994724205
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
0.0,847412730.6315461,1292000000.0,0.0,0.0
